student_id,first_name,last_name,sex,date_of_birth,grade,status,contract_rate,created,updated
0,Scarlett,Williams,F,2008-04-27,12,Inactive,80,2021-08-23 00:00:00,2023-09-30 00:00:00
1,Samantha,Young,F,2006-09-16,12,Inactive,80,2021-08-23 00:00:00,2023-09-15 00:00:00
2,Emily,Flores,F,2006-10-29,12,Inactive,80,2021-08-23 00:00:00,2023-09-28 00:00:00
3,Henry,Johnson,M,2003-08-29,12,Inactive,80,2021-08-23 00:00:00,2021-09-28 00:00:00
4,Aria,Robinson,F,2006-04-07,12,Inactive,80,2021-08-23 00:00:00,2023-10-02 00:00:00
5,Noah,Rivera,M,2005-05-05,12,Inactive,80,2021-08-23 00:00:00,2021-09-23 00:00:00
6,Grace,Scott,F,2004-08-31,12,Inactive,80,2021-08-23 00:00:00,2022-09-23 00:00:00
7,Thomas,Garcia,M,2006-03-24,12,Inactive,80,2021-08-23 00:00:00,2023-09-15 00:00:00
8,Maya,Taylor,F,2006-09-27,12,Inactive,80,2021-08-23 00:00:00,2024-02-10 00:00:00
9,Claire,Flores,F,2003-11-15,12,Inactive,80,2021-08-23 00:00:00,2021-09-09 00:00:00
10,Emma,Lee,F,2005-08-17,12,Inactive,80,2021-09-02 15:00:00,2023-11-08 00:00:00
11,Willow,Anderson,F,2004-07-20,12,Inactive,80,2021-09-03 18:00:00,2022-09-09 00:00:00
12,Emilia,Davis,F,2006-01-25,12,Inactive,80,2021-09-16 14:00:00,2023-09-28 00:00:00
13,Riley,Wright,F,2004-01-05,12,Inactive,80,2021-09-18 15:00:00,2021-10-03 00:00:00
14,Benjamin,Green,M,2009-08-10,10,Inactive,80,2021-09-22 18:00:00,2025-11-19 00:00:00
15,Lily,Jackson,F,2004-01-13,12,Inactive,80,2021-09-25 17:00:00,2022-03-19 00:00:00
16,Riley,Young,F,2008-09-15,12,Inactive,80,2021-09-27 13:00:00,2024-11-08 00:00:00
17,Zoey,Roberts,F,2006-10-22,12,Inactive,80,2021-09-29 13:00:00,2024-10-16 00:00:00
18,Nora,Jones,F,2006-08-25,12,Inactive,80,2021-09-30 14:00:00,2025-02-17 00:00:00
19,Mateo,Carter,M,2005-03-13,12,Inactive,80,2021-10-02 17:00:00,2024-09-22 00:00:00
20,Skylar,Sanchez,F,2008-04-07,7,Inactive,80,2021-10-03 14:00:00,2022-02-13 00:00:00
21,Claire,Moore,F,2005-12-15,12,Inactive,80,2021-10-05 13:00:00,2022-10-13 00:00:00
22,Brooklyn,Hernandez,F,2006-04-04,12,Inactive,80,2021-10-11 15:00:00,2024-11-03 00:00:00
23,Charles,Wright,M,2008-07-15,10,Inactive,80,2021-10-14 17:00:00,2025-11-06 00:00:00
24,Wyatt,Campbell,M,2009-11-12,12,Inactive,80,2021-10-15 15:00:00,2025-11-28 00:00:00
25,Nora,Wright,F,2005-04-27,10,Inactive,80,2021-10-16 17:00:00,2022-02-26 00:00:00
26,Stella,Scott,F,2008-07-01,10,Inactive,80,2021-10-18 15:00:00,2025-02-02 00:00:00
27,Mason,Hernandez,M,2006-06-10,9,Inactive,80,2021-10-21 18:00:00,2022-03-03 00:00:00
28,Luca,Green,M,2006-02-12,12,Inactive,80,2021-10-24 13:00:00,2024-11-16 00:00:00
29,Leah,Carter,F,2005-03-06,10,Inactive,80,2021-10-28 15:00:00,2022-03-10 00:00:00
30,Oliver,Wright,M,2006-07-03,12,Inactive,80,2021-10-31 15:00:00,2023-10-20 00:00:00
31,Evelyn,Brown,F,2009-06-20,6,Inactive,80,2021-11-01 13:00:00,2022-03-14 00:00:00
32,Emma,Lopez,F,2009-08-04,11,Inactive,80,2021-11-02 14:00:00,2025-11-01 00:00:00
33,Isabella,Robinson,F,2004-09-22,11,Inactive,80,2021-11-03 17:00:00,2022-01-12 00:00:00
34,Henry,Green,M,2004-03-21,12,Inactive,80,2021-11-07 17:00:00,2023-10-23 00:00:00
35,Ella,Carter,F,2005-12-05,12,Inactive,80,2021-11-08 13:00:00,2025-11-11 00:00:00
36,Isaac,Flores,M,2005-05-08,12,Inactive,80,2021-11-09 16:00:00,2023-10-13 00:00:00
37,Maverick,Anderson,M,2006-02-18,12,Inactive,80,2021-11-13 14:00:00,2024-10-17 00:00:00
38,Logan,Hill,M,2005-09-27,10,Inactive,80,2021-11-14 15:00:00,2022-03-27 00:00:00
39,Matthew,Rodriguez,M,2005-11-08,10,Inactive,80,2021-11-16 18:00:00,2022-03-29 00:00:00
40,Anna,Rodriguez,F,2006-09-21,9,Inactive,80,2021-11-17 13:00:00,2022-03-30 00:00:00
41,Lincoln,Wright,M,2004-04-15,11,Inactive,80,2021-11-19 13:00:00,2022-04-01 00:00:00
42,Nova,Jones,F,2005-11-23,12,Inactive,80,2021-11-21 13:00:00,2023-10-09 00:00:00
43,Emma,Walker,F,2006-01-08,11,Inactive,80,2021-11-23 16:00:00,2023-12-01 00:00:00
44,Aubrey,Hernandez,F,2009-10-11,9,Inactive,80,2021-11-24 14:00:00,2023-09-17 00:00:00
45,Grace,Roberts,F,2004-03-26,12,Inactive,80,2021-11-25 14:00:00,2022-11-01 00:00:00
46,Nora,Jones,F,2009-07-28,11,Inactive,80,2021-11-27 18:00:00,2025-10-03 00:00:00
47,Ella,Clark,F,2006-06-04,12,Inactive,80,2021-12-09 17:00:00,2024-09-21 00:00:00
48,Aria,Wright,F,2006-08-10,12,Inactive,80,2021-12-10 17:00:00,2025-03-24 00:00:00
49,Samuel,Nguyen,M,2006-02-05,9,Inactive,80,2021-12-15 13:00:00,2022-04-27 00:00:00
50,Maverick,Martin,M,2004-10-08,12,Inactive,80,2021-12-28 16:00:00,2022-09-08 00:00:00
51,Jayden,Jackson,M,2005-03-16,11,Inactive,80,2022-01-02 13:00:00,2022-05-15 00:00:00
52,Grace,Thompson,F,2007-08-10,9,Inactive,80,2022-01-04 15:00:00,2022-05-17 00:00:00
53,Aubrey,Wright,F,2006-09-18,10,Inactive,80,2022-01-08 14:00:00,2022-05-21 00:00:00
54,Lucy,Walker,F,2006-09-23,10,Inactive,80,2022-01-10 17:00:00,2022-06-27 00:00:00
55,Ella,Robinson,F,2006-03-12,12,Inactive,80,2022-01-12 17:00:00,2024-09-11 00:00:00
56,Hazel,Sanchez,F,2005-05-19,11,Inactive,80,2022-01-23 13:00:00,2022-06-05 00:00:00
57,Violet,Thompson,F,2010-03-07,6,Inactive,80,2022-01-26 18:00:00,2022-02-02 00:00:00
58,Ava,Green,F,2009-06-16,12,Active,80,2022-01-29 18:00:00,2025-09-27 00:00:00
59,Jayden,Perez,M,2005-06-25,12,Inactive,80,2022-02-04 18:00:00,2023-10-09 00:00:00
60,Elizabeth,Nguyen,F,2005-06-09,12,Inactive,80,2022-02-06 15:00:00,2022-11-13 00:00:00
61,Leah,Moore,F,2006-08-05,12,Inactive,80,2022-02-16 13:00:00,2023-11-09 00:00:00
62,Emily,King,F,2005-08-08,11,Inactive,80,2022-02-19 18:00:00,2022-07-02 00:00:00
63,Leah,Miller,F,2005-03-28,12,Inactive,80,2022-02-21 13:00:00,2023-01-13 00:00:00
64,Samuel,Wright,M,2005-07-27,11,Inactive,80,2022-03-01 17:00:00,2022-07-12 00:00:00
65,Genesis,Moore,F,2007-01-03,9,Inactive,80,2022-03-06 18:00:00,2022-07-17 00:00:00
66,Aubrey,Clark,F,2007-11-06,9,Inactive,80,2022-03-08 15:00:00,2022-07-19 00:00:00
67,Ella,Hill,F,2005-02-10,12,Inactive,80,2022-03-09 15:00:00,2022-09-13 00:00:00
68,Scarlet,Hall,F,2006-01-01,10,Inactive,80,2022-03-10 17:00:00,2022-07-21 00:00:00
69,Nova,Garcia,F,2010-11-01,9,Inactive,80,2022-03-11 18:00:00,2025-10-24 00:00:00
70,Mia,Wright,F,2005-02-17,11,Inactive,80,2022-03-12 15:00:00,2022-03-19 00:00:00
71,Bella,Wilson,F,2010-11-11,10,Inactive,80,2022-03-14 13:00:00,2024-09-19 00:00:00
72,Victoria,Hernandez,F,2009-06-06,7,Inactive,80,2022-03-15 14:00:00,2022-07-26 00:00:00
73,Henry,Lewis,M,2005-03-03,11,Inactive,80,2022-03-17 17:00:00,2022-04-14 00:00:00
74,Josiah,Thompson,M,2006-04-15,12,Inactive,80,2022-03-22 17:00:00,2023-09-21 00:00:00
75,Gabriel,Nelson,M,2010-02-07,8,Inactive,80,2022-03-31 15:00:00,2024-09-26 00:00:00
76,Jack,Martinez,M,2006-11-02,12,Inactive,80,2022-04-05 18:00:00,2023-09-11 00:00:00
77,Skylar,Rodriguez,F,2010-07-08,9,Inactive,80,2022-04-06 16:00:00,2025-10-01 00:00:00
78,Leah,Jackson,F,2007-05-03,11,Inactive,80,2022-04-07 16:00:00,2022-11-29 00:00:00
79,Penelope,Wilson,F,2006-02-04,11,Inactive,80,2022-04-09 16:00:00,2022-11-07 00:00:00
80,Ethan,Rodriguez,M,2005-05-09,11,Inactive,80,2022-04-11 18:00:00,2022-08-22 00:00:00
81,Oliver,Jackson,M,2010-09-17,9,Active,80,2022-04-16 17:00:00,2025-09-30 00:00:00
